"nameFa","nameEn"
"دانشکده فنی دخترانه سنندج","Sanandaj Girls' Technical College"
"دانشگاه آزاد آبادان","Abadan Azad University"
"دانشگاه آزاد آمل","Amol Azad University"
"دانشگاه آزاد اسلامشهر","Islamshahr Azad University"
"دانشگاه آزاد اسلامی ایرانشهر","Iranshahr Islamic Azad University"
"دانشگاه آزاد اسلامی واحد رشت","Islamic Azad University, Rasht branch"
"دانشگاه آزاد اهواز","Ahvaz Azad University"
"دانشگاه آزاد تالشان رشت","Azad University of Taleshan, Rasht"
"دانشگاه آزاد تبریز","Tabriz Azad University"
"دانشگاه آزاد تهران پونک","Azad University Ponak, Tehran"
"دانشگاه آزاد تهران شمال","Azad University, North Tehran Branch"
"دانشگاه آزاد تهران مرکز","Central Tehran Azad University"
"دانشگاه آزاد تهران واحد سوهانک","Tehran Azad University, Sohank branch"
"دانشگاه آزاد تهران واحد علوم تحقیقات","Azad University of Tehran, Department of Research Sciences"
"دانشگاه آزاد چابهار","Chabahar Azad University"
"دانشگاه آزاد خرم‌آباد","Khorramabad Azad University"
"دانشگاه آزاد خوراسگان اصفهان","Azad University of Khorasgan, Isfahan"
"دانشگاه آزاد شهر قدس","Azad University of Qods"
"دانشگاه آزاد شیراز","Shiraz Azad University"
"دانشگاه آزاد قائمشهر","Qaemshahr Azad University"
"دانشگاه آزاد کرج","Karaj Azad University"
"دانشگاه آزاد مشهد","Mashhad Azad University"
"دانشگاه آزاد همدان","Hamedan Azad University"
"دانشگاه آزاد واحد تهران جنوب","Azad University, South Tehran branch"
"دانشگاه آزاد یاسوج","Yasuj Azad University"
"دانشگاه اراک","Arak University"
"دانشگاه اردكان","Ardakan University"
"دانشگاه ارومیه","Urmia University"
"دانشگاه اصفهان","University of Esfahan"
"دانشگاه اقبال مشهد","Iqbal University of Mashhad"
"دانشگاه الزهرا","Al-Zahra University"
"دانشگاه الزهرا بابل","Alzahra University of Babol"
"دانشگاه امام صادق","Imam Sadiq University"
"دانشگاه ایلام","Ilam University"
"دانشگاه باهنر شیراز","Bahonar University, Shiraz"
"دانشگاه باهنر کرمان","Bahnar University of Kerman"
"دانشگاه بوعلی‌ سینا همدان","Bo Ali Sina University, Hamedan"
"دانشگاه بیرجند","Birjand University"
"دانشگاه بین‌المللی قزوین","Qazvin International University"
"دانشگاه پلی‌تکنیک","Polytechnic University"
"دانشگاه پيام نور شميرانات","Payam Noor Shemiranat University"
"دانشگاه پیام نور","Payam Noor university"
"دانشگاه پیام نور شهر قدس","Payam Noor University of Quds"
"دانشگاه پیام نور قزوین","Payam Nur University of Qazvin"
"دانشگاه پیام نور مریوان","Payam Noor University of Marivan"
"دانشگاه پیام‌نور سنندج","Payamnoor University, Sanandaj"
"دانشگاه تبریز","Tabriz University"
"دانشگاه تربیت مدرس","Trabiat Modares University"
"دانشگاه تربیت معلم رجایی تهران","Tarbiat Moalem Rajaei University of Tehran"
"دانشگاه تهران","Tehran University"
"دانشگاه تهران پردیس فومن","University of Tehran, Fuman Campus"
"دانشگاه تهران مرکز سوهانک","University of Tehran, Sohank Center"
"دانشگاه جندی شاپور","Jundishapur University"
"دانشگاه چمران","Chamran University"
"دانشگاه چمران اهواز","Chamran University of Ahvaz"
"دانشگاه خلیج فارس","Persian Gulf University"
"دانشگاه خواجه نصیر","Khawaja Nasir University"
"دانشگاه خوارزمی","Khwarazmi University"
"دانشگاه خیام مشهد","Khayyam University of Mashhad"
"دانشگاه دندان‌پزشکی ساری","Sari Dental University"
"دانشگاه رازی کرمانشاه","Razi University of Kermanshah"
"دانشگاه زاهدان","Zahedan University"
"دانشگاه زنجان","University of Zanjan"
"دانشگاه زند شیراز","Zand University, Shiraz"
"دانشگاه ساری","University of Sari"
"دانشگاه ساوه","Saveh University"
"دانشگاه سبزوار","Sabzevar University"
"دانشگاه سروش","Soroush University"
"دانشگاه سمنان","Semnan University"
"دانشگاه سنندج","Sanandaj University"
"دانشگاه سهند تبریز","Sahand University of Tabriz"
"دانشگاه سوره","Surah University"
"دانشگاه سوره - زندان کچویی","Sourah University - Kechui Prison"
"دانشگاه سیستان و بلوچستان","University of Sistan and Baluchestan"
"دانشگاه شاهرود","Shahrood University"
"دانشگاه شهید بهشتی","Shahid Beheshti University"
"دانشگاه شهید مدنی تبریز","Shahid Madani University of Tabriz"
"دانشگاه شیراز","Shiraz university"
"دانشگاه صدوقی","Saduqi University"
"دانشگاه صنعتی اصفهان","Isfahan University of Technology"
"دانشگاه صنعتی سجاد مشهد","Sajjad Mashhad University of Technology"
"دانشگاه صنعتی سهند","Sahand University of Technology"
"دانشگاه صنعتی شاهرود","Shahroud University of Technology"
"دانشگاه صنعتی شریف","Sharif University of Technology"
"دانشگاه علامه طباطبایی","Allameh Tabatabaei University"
"دانشگاه علم و صنعت","University of Science and Industry"
"دانشگاه علم و فرهنگ","University of Knowledge and Culture"
"دانشگاه علمی کاربردی اهواز","Ahvaz University of Applied Sciences"
"دانشگاه علوم پزشکی ارومیه","Urmia University of Medical Sciences"
"دانشگاه علوم پزشکی اصفهان","Isfahan University of Medical Sciences"
"دانشگاه علوم پزشکی ایران","Iran University of Medical Sciences"
"دانشگاه علوم پزشکی بابل","Babol University of Medical Sciences"
"دانشگاه علوم پزشکی بیرجند","Birjand University of Medical Sciences"
"دانشگاه علوم پزشکی تبریز","Tabriz University of Medical Sciences"
"دانشگاه علوم پزشکی تهران","Tehran University of Medical Sciences"
"دانشگاه علوم پزشکی زاهدان","Zahedan University of Medical Sciences"
"دانشگاه علوم پزشکی زنجان","Zanjan University of Medical Sciences"
"دانشگاه علوم پزشکی شیراز","Shiraz university of medical sciences"
"دانشگاه علوم پزشکی کردستان","Kurdistan University of Medical Sciences"
"دانشگاه علوم پزشکی کرمان","Kerman University of Medical Sciences"
"دانشگاه علوم پزشکی گرگان","Gorgan University of Medical Sciences"
"دانشگاه علوم پزشکی یزد","Yazd University of Medical Sciences"
"دانشگاه علوم تحقیقات","University of scientific research"
"دانشگاه علوم توانبخشی و سلامت اجتماعی تهران","Tehran University of Rehabilitation Sciences and Social Health"
"دانشگاه علوم قضایی","University of Judicial Sciences"
"دانشگاه علوم و تحقیقات","University of Science and Research"
"دانشگاه فردوسی مشهد","Mashhad Ferdowsi University"
"دانشگاه فرهنگیان","Farhangiyan University"
"دانشگاه فنی حرفه ای دخترانه کرمانشاه","Kermanshah Technical Vocational University for Girls"
"دانشگاه فنی شمسی‌پور تهران","Shamsipour University of Technology, Tehran"
"دانشگاه کردستان","The University of Kordestan"
"دانشگاه کشاورزی ساری","Sari Agricultural University"
"دانشگاه گرگان","Gorgan University"
"دانشگاه گرمسار","Garmsar University"
"دانشگاه گیلان","Gilan University"
"دانشگاه مازندران","Mazandaran University"
"دانشگاه معماری و هنر پارس","Pars University of Architecture and Art"
"دانشگاه مفید قم","Mofid University of Qom"
"دانشگاه مهاجر اصفهان","Mohajer University of Isfahan"
"دانشگاه نجف‌آباد","Najafabad University"
"دانشگاه نوشیروانی بابل","Noshirvani University of Babol"
"دانشگاه نیشابور","Neishabur University"
"دانشگاه هرمزگان","Hormozgan University"
"دانشگاه همدان","Hamedan University"
"دانشگاه هنر","Art university"
"دانشگاه هنر اسلامی تبریز","Islamic Art University of Tabriz"
"دانشگاه هنر تبریز","Tabriz University of Art"
"دانشگاه هنر تهران","Tehran University of Art"
"دانشگاه هنر سوهانک","Sohank University of Art"
"دانشگاه هنر و معماری پارس","Pars University of Art and Architecture"
"دانشگاه یاسوج","Yasouj University"
"دانشگاه یزد","Yazd University"
"دانشمند هوافضا و مخترع هوافضا","Aerospace scientist and inventor"
"دبیر تاریخ","History teacher"
"دبیر حزب کارگزاران استان بوشهر","Secretary of Kargozaran Party, Bushehr Province"
"دبیر ریاضی","Math teacher"
"دبیر ریاضی و از اعضای کانون معلمان خمینی شهر",""
"دبیرستان جوشن",""
"دبیرکل کانون صنفی معلمان",""
"در بازار تهران دستگیر شده",""
"در بازداشت کشته شد",""
"در بیمارستان بستری است",""
"در محوطه بازار دستگیر شد",""
"در نازی آباد دستگیر شده",""
"دراویش گنابادی",""
"دروازه‌بان سابق تیم استقلال تهران",""
"درویش",""
"درویش یارسان",""
"دستگیر شده در شهرک اکباتان- ۳۴ ساله",""
"دستگیر شده در شهرک اکباتان- ۳۲ ساله",""
"دکتر داروساز",""
"دندانپزشک",""
"دوست دختر بهنام لایق پور",""
"رئیس سازمان نظام پزشکی",""
"رپر اجتماعی سیاسی",""
"رزیدنت زنان در بیمارستان  افضلی پور کرمان دستگیر شده",""
"روانشناس و مدیر یک مرکز مشاوره",""
"روحانی بلوچ",""
"روحانی ترکمن",""
"روزنامه شرق",""
"روزنامه نگار و فعال کارگری",""
"روستای دادانه کمانگر",""
"زخمی بازداشت شده است",""
"زندان",""
"زندان اوین",""
"زندان بوشهر",""
"زندان تبریز",""
"زندان تهران بزرگ",""
"زندان تیر کلا ساری",""
"زندان دولت آباد اصفهان",""
"زندان عادل آباد شیراز",""
"زندان فشافویه","Fashafouyeh Prison"
"زندان قرچک",""
"زندان قزلحصار",""
"زندان کچویی",""
"زندان کچویی کرج",""
"زندان گنبد کاووس",""
"زندان لار",""
"زندان لاکان",""
"زندان لاکان رشت",""
"زندان مراغه",""
"زندان مرکزی تبریز",""
"زندان نوشهر",""
"زندان وکیل آباد",""
"زندانی سیاسی سابق",""
"ساکن تهران",""
"ساکن رشت بازداشت تهران",""
"سخنگوی شورای هماهنگی معلمان",""
"سردبیر نشریه تالش",""
"سنگ نورد- در زندان اوین",""
"سیستان و بلوچستان / ۱۷ آبان",""
"سینماگر مستقل- زندان قرچک",""
"شاعر","Poet"
"شاعر نویسنده و عضو کانون نویسندگان ایران",""
"شاعر و روزنامه نگار",""
"شاعر و عضو کانون نویسندگان",""
"شاعر و مسئول انجمن شعر و ادب ماسال",""
"شاعر و نویسنده",""
"شاعر، نمایشنامه نویس و کارگردان تاتر",""
"شهرک گویم شیراز",""
"شهروند اسپانیا",""
"شهروند اسپانیایی",""
"شهروند بهایی",""
"عضو انجمن صنفی معلمان",""
"عضو تیم واکنش سریع هلال احمر کردستان",""
"عضو سابق تیم ملی دوچرخه‌سواری کوهستان ایران",""
"عضو سابق شورای شهر اصفهان",""
"عضو کانون صنفی معلمان",""
"عضو مجمع یارسان",""
"عضو هیئت مدیره سندیکای شرکت واحد",""
"عضو هیئت مدیره کانون صنفی فرهنگیان",""
"عضو هیات دبیران کانون نویسندگان",""
"عکاس",""
"عکاس تبلیغاتی",""
"عکاس خبرنگار",""
"علو م پزشکی دانشگاه آزاد",""
"علوم پزشکی شهید بهشتی",""
"فارغ التحصیل دانشگاه تهران",""
"فارغ التحصیل دانشگاه شریف- زندان فشافویه",""
"فرانسوی","French"
"فرزند : احمد",""
"فرزند: محمد امین",""
"فعال آزادی اینترنت",""
"فعال اجتماعی و سیاسی",""
"فعال بازار سرمایه",""
"فعال ترک",""
"فعال ترک (آذربایجانی)",""
"فعال ترک قشقایی",""
"فعال حقوق بشر",""
"فعال حقوق حیوانات",""
"فعال حقوق کارگران",""
"فعال حقوق کودک",""
"فعال حقوق کودک و فعال زنان",""
"فعال حقوق کودکان",""
"فعال حقوق معلمان",""
"فعال حوزه گردشگری",""
"فعال زیست‌محیطی",""
"فعال صنفی",""
"فعال صنفی معلمان",""
"فعال فرهنگی",""
"فعال کارگری",""
"فعال کرد",""
"فعال کودک",""
"فعال محیط زیست",""
"فعال مدنی",""
"فعال مدنی و ادبی کُرد",""
"فعال مدنی و متخصص تکنولوژی",""
"فعال یارسان","Yarsan(Religious minority) activist"
"فعال یارسان- بازداشت دوباره","Yarsan(Religious minority) activist, second arrest"
"فوتبالیست کرد",""
"فیلمبردار",""
"فیلمساز",""
"فیلم‌ساز و فعال مدنی",""
"فیمساز و فیلمبردار",""
"قرچک",""
"قهرمان ورزشی",""
"قهرمان ووشو",""
"کارشناس علوم آزمایشگاهی",""
"کارشناس مترجمی زبان - زندان قرچک",""
"کارگر","Worker"
"کارگر ساختمانی- تیر خورده و محل بازداشت نامعلوم است",""
"کارگر نانوایی","Bakery worker"
"کارگردان  و هنرمند","Worker and Artist"
"کارگردان تئاتر","Theater director"
"کارگردان و بازیگر تئاتر","Theater director and artist"
"کانون اصلاح و تربیت - ۱۹ ساله و بازداشت دوم",""
"کانون وکلای فارس",""
"کلام خوان آیینی یارسان",""
"کمدین و هنرمند- زندان «ضیابر» صومعه‌سرا",""
"کنشگر دسترسی به اینترنت",""
"کودک","Minor"
"کوهنورد",""
"گرافیست و مربی اسکی شیرازی",""
"مادر نیلوفر لطفیان- زندان اطلاعات ساری",""
"مازندران","Mazandaran"
"ماموستا","Mamoosta(Religious scholars)"
"متخصص تکنولوژی","Technology expert"
"مترجم","Translator"
"مترجم فیلمساز و انیماتور","Translator, filmmaker and animator"
"مترجم و مستندساز","Translator and documentary maker"
"مجسمه‌ساز و هنرمند","Sculptor and artist"
"مجمع مشورتی فعالان مدنی یارسان","Consultative Assembly of Yasaran Civil Activists"
"مداح","Religious singer"
"مدرس موسیقی","Music teacher"
"مدل اهل ساری- زندان اطلاعات ساری","Model from Sari - Ettela'at prison of Sari"
"مدیر اجرایی گروه چارتار","Executive Director of Chartar Music Group"
"مدیر ارشد امنیت شبکه و تحلیل داده شرکت ایرانسل","Senior Manager of Network Security and Data Analysis of Irancell Company"
"مدیر روابط عمومی دیجی کالا","Public relations manager of Digikala"
"مدیر کانال خبری ایران تایمز و سایت مبین۲۴","Manager of Iran Times news channel and Mobeen24 site"
"مدیر مسئول پایگاه خبری جامعه آنلاین","COO for Jame'e Online news site"
"مربی سنگنوردی","Climbing instructor"
"مربی فدراسیون اسکیت","Skate Federation coach"
"مربی و بازیکن راگبی","Rugby coach and player"
"مربی والیبال-زندان خورین پاکدشت","Volleyball coach - Khorin Pakdasht prison"
"مربی یوگا","Yoga instructor"
"معلم","Teacher"
"معلم بازنشسته","Retired teacher"
"معلم پیانو و زبان آلمانی","Piano and German language teacher"
"معلم زبان کردی","Kurdish language teacher"
"معلم هنرستان باقر العلوم","Teacher of Baqer Al-Uloom Conservatory"
"معلم و عکاس هنری","Teacher and artistic photographer"
"مقابل دانشگاه شریف دستگیر شده","Arrested in front of Sharif University"
"منجم و همکار مجله نجوم","Astronomer and contributor to Nojoom magazine"
"نانوا","Baker"
"نقاش","Painter"
"نوجوان","Teenager"
"نویسنده","Writer"
"نویسنده ، شاعر و کارگردان تئاتر","Writer, poet and theater director"
"نویسنده کودک و نوجوان","Children's and adolescent author"
"نویسنده و شاعر","Writer and poet"
"نویسنده و کارگردان تئاتر","Author and theater director"
"نویسنده و هنرمند","Writer and artist"
"هکر و فعال حقوق دیجیتال","Hacker and digital rights activist"
"هنرپیشه تئاتر - نازی فاطمه حبیبی","Theater actress - Nazi Fatima Habibi"
"هنرمند","Artist"
"هنرمند گرافیست","Graphic artist"
"هنرمند نقاش و عکاس","Painter and photographer"
"هنرمند و بازیگر تئاتر","Theater artist and actor"
"هنرمند و عکاس","Artist and photographer"
"هنرمند و گرافیست کرد","Kurdish artist and graphic designer"
"هنرمند و مجری سابق تلویزیون","Artist and former TV presenter"
"هنرمند و نقاش","Artist and painter"
"هنرمند- نوازنده تنبک","Artist-musician of tanbak"
"هنرمند: رنگ سبز","Artist: Green color"
"ورزشکار","athlete"
"ورزشکار و مربی اسنوبرد","Snowboard athlete and coach"
"وکیل آباد","Vakil Abad Prison"
"ویراستار و مترجم","Editor and translator"
"یارسان","Yarsan(Religious minority)"
"",
"18 ساله",
"دستگیر شده در شهرک اکباتان- متولد 1369",
"دستگیر شده در شهرک اکباتان- متولد 1367",
"خوانند رپ",
"هجده ساله",
"نوزده ساله",
"19 ساله",
"فشافویه",
"بیست ساله",
"دانش‌آموز",
"16ساله، کانون اصلاح و تربیت",
"هفده ساله",
"شانزده ساله",
"دانش آموز15 ساله",
"17 ساله",
"15 ساله",
